Subject,Date,Body,filepath
CISA Releases Malware Analysis Reports on Barracuda Backdoors,"Wed, 09 Aug 2023 19:19:13 +0000","    CISA Releases Malware Analysis Reports on Barracuda BackdoorsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases Malware Analysis Reports on Barracuda BackdoorsUpdated August 9, 2023 CISA has published an additional malware analysis report associated with malicious Barracuda activity. The report provides analysis on four malware samples, including:  WHIRLPOOL – WHIRLPOOL is a backdoor that establishes a Transport Layer Security (TLS) reverse shell to the Command-and-Control (C2) server. For more information, including indicators of compromise and YARA rules for detection, see the following malware analysis report: SEASPY and WHIRLPOOL Backdoors MAR-10454006.r4.v2.CLEAR End of update CISA has published three malware analysis reports on malware variants associated with exploitation of  CVE-2023-2868 .  CVE-2023-2868  is a remote command injection vulnerability affecting Barracuda Email Security Gateway (ESG) Appliance, versions 5.1.3.001-9.2.0.006. It was exploited as a zero day as early as October 2022 to gain access to ESG appliances. According to industry reporting, the actors exploited the vulnerability to gain initial access to victim systems and then implanted backdoors to establish and maintain persistence.CISA analyzed backdoor malware variants obtained from an organization that had been compromised by threat actors exploiting the vulnerability.Barracuda Exploit Payload and Backdoor – The payload exploits  CVE-2023-2868 , leading to dropping and execution of a reverse shell backdoor on ESG appliance. The reverse shell establishes communication with the threat actor’s command and control (C2) server, from where it downloads the SEASPY backdoor to the ESG appliance. The actors delivered the payload to the victim via a phishing email with a malicious attachment.SEASPY – SEASPY is a persistent and passive backdoor that masquerades as a legitimate Barracuda service. SEASPY monitors traffic from the actor’s C2 server. When the right packet sequence is captured, it establishes a Transmission Control Protocol (TCP) reverse shell to the C2 server. The shell allows the threat actors to execute arbitrary commands on the ESG appliance.SUBMARINE – SUBMARINE is a novel persistent backdoor executed with root privileges that lives in a Structured Query Language (SQL) database on the ESG appliance. SUBMARINE comprises multiple artifacts—including a SQL trigger, shell scripts, and a loaded library for a Linux daemon—that together enable execution with root privileges, persistence, command and control, and cleanup. CISA also analyzed artifacts related to SUBMARINE that contained the contents of the compromised SQL database. This malware poses a severe threat for lateral movement.For more information, including indicators of compromise and YARA rules for detection, on the exploit payload, SEASPY, and SUBMARINE backdoor, see the following Malware Analysis Reports:Exploit Payload Backdoor MAR-10454006-r3.v1.CLEARSEASPY Backdoor MAR-10454006-r2.v1.CLEARSUBMARINE Backdoor MAR-10454006-r1.v2.CLEARFor more information on  CVE-2023-2868  see, Barracuda’s page Barracuda Email Security Gateway Appliance (ESG) Vulnerability and Mandiant’s blogpost Barracuda ESG Zero-Day Vulnerability ( CVE-2023-2868 ) Exploited Globally by Aggressive and Skilled Actor.To report suspicious or criminal activity related to information found in these malware analysis reports, contact CISA’s 24/7 Operations Center at Report@cisa.gov or (888) 282-0870.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Malware_Analysis_Reports_on_Barracuda_Backdoors_5/index.html
CISA Adds One Known Exploited Vulnerability to Catalog,"Wed, 09 Aug 2023 16:23:59 +0000","    CISA Adds One Known Exploited Vulnerability to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Adds One Known Exploited Vulnerability to Catalog 08/09/2023  12:00 PM EDTCISA has added one new vulnerability to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2023-38180  Microsoft .NET Core and Visual Studio Denial of Service VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_One_Known_Exploited_Vulnerability_to_Catalog/index.html
Adobe Releases Security Updates for Multiple Products,"Tue, 08 Aug 2023 21:16:14 +0000","    Adobe Releases Security Updates for Multiple ProductsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Adobe Releases Security Updates for Multiple Products 08/08/2023  05:00 PM EDTAdobe has released security updates to address multiple vulnerabilities in Adobe software. An attacker can exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review the following Adobe Security Bulletins and apply the necessary updates.Adobe Acrobat and Reader: APSB23-30Adobe Commerce: APSB23-42Adobe Dimension: APSB23-44Adobe XMP Toolkit SDK: APSB23-45",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Adobe_Releases_Security_Updates_for_Multiple_Products/index.html
Fortinet Releases Security Update for FortiOS,"Tue, 08 Aug 2023 19:14:52 +0000","    Fortinet Releases Security Update for FortiOSYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Fortinet Releases Security Update for FortiOS 08/08/2023  3:00 PM EDTFortinet has released a security update to address a vulnerability ( CVE-2023-29182 ) affecting FortiOS. A remote attacker can exploit this vulnerability to take control of an affected system.CISA encourages users and administrators to review the Fortinet security release [FG-IR-23-149] and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Fortinet_Releases_Security_Update_for_FortiOS/index.html
Microsoft Releases August 2023 Security Updates,"Tue, 08 Aug 2023 19:13:07 +0000","    Microsoft Releases August 2023 Security UpdatesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Microsoft Releases August 2023 Security Updates 08/08/2023  3:00 PM EDTMicrosoft has released updates to address multiple vulnerabilities in Microsoft software. An attacker can exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review Microsoft’s August 2023 Security Update Guide and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Microsoft_Releases_August_2023_Security_Updates/index.html
"Vulnerability Summary for the Week of July 31, 2023","Tue, 08 Aug 2023 13:45:53 +0000","    Vulnerability Summary for the Week of July 31, 2023You are subscribed to Vulnerability Bulletins for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Vulnerability Summary for the Week of July 31, 2023 08/08/2023  09:00 AM EDT High VulnerabilitiesPrimaryVendor -- ProductDescriptionPublishedCVSS ScoreSource & Patch Infoyunyecms -- yunyecmsSQL injection vulnerability in yunyecms 2.0.2 allows remote attackers to run arbitrary SQL commands via XFF.2023-07-319.8 CVE-2020-21662 MISCraspap -- raspapA Command injection vulnerability in RaspAP 2.8.0 thru 2.8.7 allows unauthenticated attackers to execute arbitrary commands via the cfg_id parameter in /ajax/openvpn/activate_ovpncfg.php and /ajax/openvpn/del_ovpncfg.php.2023-08-019.8 CVE-2022-39986 MISCMISCtp-link -- archer_ax21_firmwareTP-Link Archer AX21(US)_V3_1.1.4 Build 20230219 and AX21(US)_V3.6_1.1.4 Build 20230219 are vulnerable to Buffer Overflow.2023-08-019.8 CVE-2023-31710 MISCsynel -- synergy_fingerprint_terminalsSynel SYnergy Fingerprint Terminals - CWE-798: Use of Hard-coded Credentials2023-07-309.8 CVE-2023-32227 MISCassaabloy -- control_id_idsecureControl ID IDSecure 4.7.26.0 and prior uses a hardcoded cryptographic key in order to sign and verify JWT session tokens, allowing attackers to sign arbitrary session tokens and bypass authentication.2023-08-039.8 CVE-2023-33371 MISCMISCajaxmanager_project -- ajaxmanager_file/ajaxmanager_databaseAn Unrestricted Upload of File with Dangerous Type vulnerability in the Ajaxmanager File and Database explorer (ajaxmanager) module for PrestaShop through 2.3.0, allows remote attackers to upload dangerous files without restrictions.2023-08-019.8 CVE-2023-33493 MISCphpjabbers_ltd. -- time_slots_booking_calendarImproper input validation of password parameter in PHP Jabbers Time Slots Booking Calendar v 3.3 results in insecure passwords.2023-08-019.8 CVE-2023-33561 MISCMISCphpjabbers_ltd. -- time_slots_booking_calendarUser enumeration is found in in PHP Jabbers Time Slots Booking Calendar v3.3. This issue occurs during password recovery, where a difference in messages could allow an attacker to determine if the user is valid or not, enabling a brute force attack with valid users.2023-08-019.8 CVE-2023-33562 MISCMISCapple -- multiple_productsThe issue was addressed with improved memory handling. This issue is fixed in watchOS 9.6, macOS Monterey 12.6.8, iOS 15.7.8 and iPadOS 15.7.8, macOS Big Sur 11.7.9, iOS 16.6 and iPadOS 16.6, macOS Ventura 13.5. An app may be able to execute arbitrary code with kernel privileges.2023-07-289.8 CVE-2023-34425 MISCMISCMISCMISCMISCMISCMISCMISCMISCMISCMISCMISCgreenshot -- greenshotGreenshot 1.2.10 and below allows arbitrary code execution because .NET content is insecurely deserialized when a .greenshot file is opened.2023-08-019.8 CVE-2023-34634 MISCMISCMISCMISCwifi-soft -- unibox_administrationWifi Soft Unibox Administration 3.0 and 3.1 is vulnerable to SQL Injection. The vulnerability occurs because of not validating or sanitizing the user input in the username field of the login page.2023-07-319.8 CVE-2023-34635 MISCMISCdedecms -- dedecmsRemote Code Execution vulnerability in DedeCMS through 5.7.109 allows remote attackers to run arbitrary code via crafted POST request to /dede/tpl.php.2023-07-319.8 CVE-2023-34842 MISCMISCchamilo -- chamiloA command injection vulnerability in the wsConvertPpt component of Chamilo v1.11.* up to v1.11.18 allows attackers to execute arbitrary commands via a SOAP API call with a crafted PowerPoint name.2023-08-019.8 CVE-2023-34960 MISCMISCphpjabbers_ltd. -- availability_booking_calendarPHPJabbers Availability Booking Calendar 5.0 is vulnerable to Incorrect Access Control due to improper input validation of password parameter.2023-08-049.8 CVE-2023-36131 MISCMISCphpjabbers_ltd. -- availability_booking_calendarPHP Jabbers Availability Booking Calendar 5.0 is vulnerable to Incorrect Access Control.2023-08-049.8 CVE-2023-36132 MISCMISCphpjabbers_ltd. -- availability_booking_calendarPHPJabbers Availability Booking Calendar 5.0 is vulnerable to User Account Takeover through username/password change.2023-08-049.8 CVE-2023-36133 MISCMISCphpjabbers_ltd. -- cleaning_business_softwareIn PHPJabbers Cleaning Business Software 1.0, lack of verification when changing an email address and/or password (on the Profile Page) allows remote attackers to take over accounts.2023-08-049.8 CVE-2023-36139 MISCMISCmotocms -- motocmsMotoCMS Version 3.4.3 Store Category Template was discovered to contain a Server-Side Template Injection (SSTI) vulnerability via the keyword parameter.2023-08-019.8 CVE-2023-36210 MISCMISCapple -- multiple_productsAn integer overflow was addressed with improved input validation. This issue is f",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Vulnerability_Summary_for_the_Week_of_July_31__2023/index.html
CISA Adds One Known Exploited Vulnerability to Catalog,"Mon, 07 Aug 2023 18:12:34 +0000","    CISA Adds One Known Exploited Vulnerability to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Adds One Known Exploited Vulnerability to Catalog 08/07/2023  02:07 PM EDTCISA has added one new vulnerability to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2017-18368  Zyxel P660HN-T1A Routers Command Injection VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_One_Known_Exploited_Vulnerability_to_Catalog_1/index.html
CISA Releases its Cybersecurity Strategic Plan,"Fri, 04 Aug 2023 17:41:23 +0000","    CISA Releases its Cybersecurity Strategic PlanYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Releases its Cybersecurity Strategic Plan 08/04/2023 Today, CISA released a strategic plan to lay out how we will fulfill our cybersecurity mission over the next three years. The CISA Cybersecurity Strategic Plan aligns the following nine objectives to specific enabling measures and measures of effectiveness to drive accountability:Increase visibility into, and ability to disrupt, cybersecurity threats and campaignsCoordinate disclosure of, hunt for, and drive mitigation of critical and exploitable vulnerabilitiesPlan for, exercise, and execute joint cyber defense operations and coordinate the response to significant cybersecurity incidentsUnderstand how attacks really occur—and how to stop themDrive implementation of measurably effective cybersecurity investmentsProvide cybersecurity capabilities and services that fill gaps and help measure progressDrive development of trustworthy technology productsUnderstand and reduce cybersecurity risks posed by emergent technologiesContribute to efforts to build a national cyber workforceLearn more about CISA’s Cybersecurity Strategic Plan at https://www.cisa.gov/cybersecurity-strategic-plan. ",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_its_Cybersecurity_Strategic_Plan/index.html
"CISA, NSA, FBI, and International Partners Release Joint CSA on Top Routinely Exploited Vulnerabilities of 2022 ","Thu, 03 Aug 2023 16:27:34 +0000","    CISA, NSA, FBI, and International Partners Release Joint CSA on Top Routinely Exploited Vulnerabilities of 2022 You are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA, NSA, FBI, and International Partners Release Joint CSA on Top Routinely Exploited Vulnerabilities of 2022  08/03/2023  12:00 PM EDTThe U.S. Cybersecurity and Infrastructure Security Agency (CISA), National Security Agency (NSA), Federal Bureau of Investigation (FBI), and international partners are releasing a joint Cybersecurity Advisory (CSA), 2022 Top Routinely Exploited Vulnerabilities. This advisory provides details on the top Common Vulnerabilities and Exposures (CVEs) routinely exploited by malicious cyber actors in 2022, and the associated Common Weakness Enumeration(s) (CWE), to help organizations better understand the impact exploitation could have on their systems. International partners include: Australian Signals Directorate’s Australian Cyber Security Centre (ACSC), Canadian Centre for Cyber Security (CCCS), New Zealand National Cyber Security Centre (NCSC-NZ), New Zealand Computer Emergency Response Team (CERT-NZ), and the United Kingdom’s National Cyber Security Centre (NCSC-UK), and the United Kingdom’s National Cyber Security Centre (NCSC-UK).The authoring agencies urge all organizations to review and implement the recommended mitigations detailed in this advisory.  The advisory provides vendors, designers, and developers recommendations on implementing secure-by-design and -default principles and tactics to reduce the prevalence of vulnerabilities in their software and end-user organizations’ recommendations to reduce the risk of compromise by malicious cyber actors. Organizations should share information about incidents and unusual cyber activity with their respective cybersecurity authorities because when cyber incidents are reported quickly, it can contribute to stopping further attacks.In the U.S., organizations should inform CISA’s 24/7 Operations Center at report@cisa.gov or (888) 282-0870, or an FBI field office.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA__NSA__FBI__and_International_Partners_Release_Joint_CSA_on_Top_Routinely_Exploited_Vulnerabilities_of_2022_/index.html
Mozilla Releases Security Updates for Firefox and Firefox ESR,"Wed, 02 Aug 2023 15:10:15 +0000","    Mozilla Releases Security Updates for Firefox and Firefox ESRYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.Mozilla Releases Security Updates for Firefox and Firefox ESR 08/02/2023  11:05 AM EDTMozilla has released security updates to address vulnerabilities for Firefox 116, Firefox ESR 115.1, and Firefox ESR 102.14. An attacker could exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review Mozilla’s security advisories for Firefox 116, Firefox ESR 115.1, and Firefox ESR 102.14 for more information and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Mozilla_Releases_Security_Updates_for_Firefox_and_Firefox_ESR/index.html
